ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Italy Wine,Italy Red Wine,ITALY,144923,NOTO NERO D'AVOLA - FEUDO MACCARI 2018,8033011200970,0.75,1,13.5,19.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,145926,DAGERAAD - BURNABARIAN TALL CAN,628055199137,0.473,4,4.5,12.29,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,160215,MALBEC - CATENA ZAPATA ADRIANNA VINEYARD RIVER STONES,7794450005304,0.75,1,13.5,239.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,174941,FONSECA - VINTAGE 2016,5013521103506,1.5,1,20.5,295.99,10
Wine,France Wine,France Red Wine,FRANCE,207277,BOURGOGNE - DOMAINE DES BEAUMONT PINOT NOIR 2016,3760126210123,0.75,1,12.5,46.99,0
Spirits,Vodka,Straight Vodka,JAPAN,211833,HAKU - VODKA,80686958024,0.75,1,40,44.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,403899,BRUNELLO DI MONTALCINO - SILVIO NARDI POGGIO DORIA 10,808755012268,0.75,1,14,155.99,0
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,432176,ELIJAH CRAIG - TOASTED BARREL,96749002870,0.75,1,47,81.99,NA
Spirits,Vodka,Straight Vodka,CANADA,12989,SILENT SAM,622153192069,1.14,1,40,33.49,NA
Wine,Sake,Japan Sake,JAPAN,124449,OKUNOMATSU - 300TH ANNIVERSARY SAKE,4964838140528,0.72,1,16,499.99,0
Spirits,Tequila,Gold Tequila,MEXICO,143040,HORNITOS REPOSADO,82422657543,0.75,1,40,34.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,146426,CHECKMATE - KNIGHT'S CHALLENGE CHARDONNAY 2015 750 ML,776545801258,0.75,1,14.4,79.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,161305,CALIFORNIA RED - BLOSSOM HILL,80720930023,0.75,1,12.5,7.99,0
Spirits,Whisky,Blended Malt Scotch Whisky,UNITED KINGDOM,189785,ELEMENTS OF ISLAY PEAT - PURE ISLAY,5060188982210,0.5,1,45,69.99,NA
Wine,France Wine,France Red Wine,FRANCE,216844,POMEROL - CHATEAU CLINET 2017,3760066832836,0.75,1,13,200,NA
Wine,Chile Wine,Chile Sparkling Wine,CHILE,299404,FRESITA - SPARKLING WINE INFUSED WITH STRAWBERRIES,736886811224,0.75,1,8,15.99,3
Wine,France Wine,France Red Wine,FRANCE,301689,FRONSAC - CHATEAU LA VIEILLE CURE 2014,714153164112,0.75,1,14.5,45,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,392561,LAPHROAIG - 10 YEAR OLD SHERRY OAK,80686813347,0.75,1,48,89.99,NA
Beer,Import Beer,Europe Beer,GERMANY,394536,BITBURGER PREMIUM TALL CAN,20507002505,0.5,1,4.8,2.19,NA
Wine,Chile Wine,Chile Red Wine,CHILE,439166,CARMENERE - CARMEN GRAN RESERVA APALTA 2018,677758901240,0.75,1,14,19.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,541094,CABERNET SAUVIGNON - TOM GORE 2019,86003248007,0.75,1,13.5,17.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,551135,FERNIE - CRAFT COLLECTION CAN,626990119470,0.355,12,5,21.79,NA
Wine,Italy Wine,Italy Red Wine,ITALY,850503,VALPOLICELLA SUPERIORE - TEDESCHI MATERNIGO 2015,8019171001435,0.75,1,15,39.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,888974,CABERNET SAUVIGNON - BAROSSA VALLEY ESTATE BAROSSA 2017,9311347003113,0.75,1,13.5,21.99,0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,15005,STELLA ARTOIS - CAN,62067382277,0.355,12,5,24.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,76527,KIRIN ICHIBAN,62067382109,0.341,6,5,13.29,NA
Spirits,Tequila,Mezcal,MEXICO,78022,MONTELOBOS - MEZCAL JOVEN,83664872978,0.75,1,43.2,58.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,86237,BOLGHERI SUPERIORE - ORNELLAIA 2016,818201020310,0.375,1,14,139.99,0
Wine,Canada - Other,Canada - Other White Wine,CANADA,86965,BODACIOUS - SMOOTH WHITE,63657036020,4,1,11.5,34.99,1
Beer,Import Beer,Mexico And Caribbean Beer,ITALY,108657,CORONA LIGHT - SLEEK CAN,62067380266,0.355,12,3.4,27.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,119628,CABERNET SAUVIGNON - LINDEMANS BIN 45,12354087705,0.75,1,14,11.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,228341,AMARONE DELLA VALPOLICELLA CLASSICO - MASI COSTASERA RISERVA,,1.5,1,15,187.99,0
Wine,Fortified Wine,Other Fortified Import Wine,AUSTRALIA,257998,EMU - AUSTRALIAN APERA MEDIUM DRY,9311043020957,0.75,1,17.5,10.99,3
Wine,France Wine,France White Wine,FRANCE,735050,BLANC DE LYNCH BAGES 2014,,0.75,1,13,80,0
Wine,Italy Wine,Italy White Wine,ITALY,19863,MAREMMA TOSCANA VERMENTINO - CECCHI LA MORA,8006030039982,0.75,1,12.5,17.49,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,32222,PHILLIPS - CITRICITY GRAPEFRUIT ZEST IPA CAN,818278001458,0.355,6,6.2,11.29,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,216770,RIOJA RESERVA - BERONIA 2014,8410023009393,0.75,1,14,24.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,387316,BALVENIE - 12 YEAR OLD DOUBLEWOOD,5010327505138,0.75,1,40,99.99,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,467951,MALBEC - ALAMOS MENDOZA,7794450008084,0.75,1,13,14.99,0
Wine,France Wine,France Champagne Wine,FRANCE,524439,BILLECART SALMON - CUVEE NICOLAS FRANCOIS BILLECART 2002,3113946253328,0.75,1,12.5,285.99,0
Wine,France Wine,France Rose Wine,FRANCE,4113,PROVENCE ROSE - ROUBINE LA VIE EN ROSE 20,3760105790417,0.75,1,13,26.99,0
Wine,France Wine,France Red Wine,FRANCE,13560,COTEAUX BOURGUIGNONS - GEANTET PANSIOT 2018,3760163359762,0.75,1,11,31.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,15456,STELLA ARTOIS - TALL CAN,,0.473,1,5,3.29,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,36569,CABERNET SHIRAZ - YALUMBA THE CALEY COONAWARRA AND BAROSSA 2,9311789005201,0.75,1,14,499.99,0
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,120202,CHENIN BLANC - KEN FORRESTER OLD VINE RES STELLENBOSCH,6009607660383,0.75,1,13.5,21.99,0
Wine,France Wine,France Red Wine,FRANCE,153458,MARGAUX - MARQUIS DE TERME 2017,3378281172004,0.75,1,13,110,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,189415,SHIRAZ - GEORGE WYNDHAM BIN 555,80432127070,0.75,1,14,14.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,361220,PELLER FAMILY VINEYARDS - PINOT GRIGIO,48162010130,0.75,1,12,8.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,386631,PINOT NOIR - SALENTEIN PORTILLO UCO VEGAN VALLEY 2018,7798074860288,0.75,1,14,14.99,0
